id	filename	md5	size	state
bd239a8e-56e2-45ca-bc44-bff98b72c1d6	d28a7c02-2f33-46e2-bff9-5ed518ea6fb6.rna_seq.augmented_star_gene_counts.tsv	29dd21ad6b69b899dbc5d44104a2d695	4256261	released
247f1d7d-fc33-4f35-aca7-60aa1c9631ad	ba42632e-b94c-4620-adcf-a0585652860f.rna_seq.augmented_star_gene_counts.tsv	d139f950bb2c7258ade5ea931edd9105	4230073	released
a930c017-565f-49ad-893a-37cc394c269d	cc502455-f72f-491d-9486-a344e169dcfc.rna_seq.augmented_star_gene_counts.tsv	d9fa1a48770bb07ca90a7aa71b2d28af	4244144	released
9e056a2a-a643-478a-b96c-85d5221f487a	c6a90de3-979b-46b0-9f84-2875c1e38742.rna_seq.augmented_star_gene_counts.tsv	1bb465b8dc478393abcc76b84b530f1c	4241593	released
2bf56d2d-8c5e-4579-847b-03fd0ba46143	fb3713b9-fad5-4d66-b419-8f53530b14cd.rna_seq.augmented_star_gene_counts.tsv	4683e7678af75fd1ded802db37bc1653	4255541	released
8b000fae-e6de-4038-8486-45316cae622d	7be7033e-db49-45cd-8ea5-827266707b1e.rna_seq.augmented_star_gene_counts.tsv	1d21804923768d0d53eea40edd857afc	4239332	released
be386ce9-a12f-4c16-80ba-a5d47d5b374e	13daffbb-aa53-44f9-a6ed-5fd43ed37471.rna_seq.augmented_star_gene_counts.tsv	f1186dfb90ed4942b330147c414b790f	4246188	released
81138059-5789-4ea7-84e9-1490aa53a283	35ded490-54db-46b8-bc62-a5a9314cf0b2.rna_seq.augmented_star_gene_counts.tsv	86428e045962f6b4dc7fab3fb3668b71	4219156	released
1479c033-ebe7-423d-8460-bbe84fd5ffb6	967fde0b-9c38-4c69-97f2-9640ebe1dc9a.rna_seq.augmented_star_gene_counts.tsv	086ffa491885cf44784476ba9ac8278c	4257770	released
baec6a46-7c48-41ed-a8a9-eef52d32cba3	eb17c782-c3a1-458d-8e2d-cadb58c7655a.rna_seq.augmented_star_gene_counts.tsv	52c51a3e04f6955a715a02ba33e94131	4230216	released
d8ac1c2a-1820-4174-99e3-524b334df490	078f6959-adcf-44a5-91d2-2581ba3c8e62.rna_seq.augmented_star_gene_counts.tsv	899d4a95da83ad0c9e794b70d8c69ec0	4273980	released
cf0ca663-a857-4aea-ab72-b0d4373b2456	4abd29b3-0a83-41d3-a741-bcc5b6d2f98a.rna_seq.augmented_star_gene_counts.tsv	e86c0c61f1182b6a7966b2a18901a131	4262152	released
b01d7dfd-b577-48b8-8bf2-3c74bb617601	6732c6de-0725-4a08-a1d7-211338a4363c.rna_seq.augmented_star_gene_counts.tsv	f93163bffb3fc83f8eb0b8e13a32cb52	4227746	released
65582670-1c71-4606-91b5-a886144fdfa6	5c4f28b0-b83c-4b52-8545-2f26c9d0734f.rna_seq.augmented_star_gene_counts.tsv	a5ddbc5ddfb0a2bd4c461862b6a145a4	4245638	released
d757b1cc-31a6-495a-ae82-c63b031ece49	898f9214-8dab-4b92-9233-70c06c60078c.rna_seq.augmented_star_gene_counts.tsv	6d8884a50ab2b561dde01f32762bda4b	4258057	released
23bf74db-bb4e-44c5-8473-e651b818e460	308e15c9-16b0-4f24-b9dc-e9dc91038579.rna_seq.augmented_star_gene_counts.tsv	f18e21a3660cda11ede50ccdbebd7493	4258207	released
b9bdb9d3-4d2b-4a53-9804-d0511174e553	49e456c9-c47b-4663-bf6f-9f8f4e4e71a5.rna_seq.augmented_star_gene_counts.tsv	c68d20cdb92d62abe7e0669fef6cc03d	4249088	released
f63a40ad-26af-48d6-bb36-91fd91d32e6b	90a1bbd2-6b26-4d1c-b255-df5499d1da6c.rna_seq.augmented_star_gene_counts.tsv	2819e5ef9e526856834e276e3b72ee25	4234478	released
1e89aa7b-a07a-4c7e-b353-4698df02953d	e505e775-0084-4acb-b7b1-1f719c0b2a1a.rna_seq.augmented_star_gene_counts.tsv	44f8026c0225b05e27268678f161a336	4216561	released
975ed1ca-4f35-4e24-a7da-f89040abe874	97e0294b-ea61-4833-b121-10426c6fb0f9.rna_seq.augmented_star_gene_counts.tsv	6ddf890f2e27ea28159c02af374ad715	4249751	released
ea72e033-f972-48d9-be8e-46319e985cba	5cd5bbda-d09d-4974-9f4b-20eb1b9fb5e6.rna_seq.augmented_star_gene_counts.tsv	e127bd4eed1842aeab713e0cc9605c44	4245225	released
4014b51d-0105-4fc2-9fa8-26138d4ddfe7	d3c77629-cba3-46b9-9c5a-4e2e5e9f8b24.rna_seq.augmented_star_gene_counts.tsv	0b5d69ef625158fedbfef3a50cbda2ac	4250094	released
42648ba1-68af-438b-a00e-b369d9eef5fc	0b9c072e-523c-4b05-9118-1359d4c09052.rna_seq.augmented_star_gene_counts.tsv	a7305ca1b31f0b2073c4eec81149fb93	4254941	released
8aa1a61b-3846-4949-a06f-afc8885de8e4	a14f29c0-7867-4db5-910b-bf894b1aef34.rna_seq.augmented_star_gene_counts.tsv	f457d12b6db7d3699e033145fd0b6bad	4237613	released
c4405f40-51c7-4d28-bc9a-067a1752eb7b	c41e2ed2-3134-43ce-953b-08663b927d5a.rna_seq.augmented_star_gene_counts.tsv	17e186a1691f09c1926b855f1a5e48ae	4217042	released
584d4a8f-9893-46bb-9cc9-9fa6997390f5	7ac8fff8-0078-4e00-ac25-3145f416311e.rna_seq.augmented_star_gene_counts.tsv	beedef593bcfd0db788c4db4bce28350	4257549	released
33a3678a-2f80-4d0d-bfb2-4e081b6a637a	4e413b14-89b4-4a78-8a0d-6c50f073fb40.rna_seq.augmented_star_gene_counts.tsv	01b36f1a3d4ba1b837a45570e82c08fc	4254129	released
fc92fc4e-e5e0-4fc7-a5e4-544c52f8c2e9	a80ff9ec-2e05-4f19-9995-be1ded568b31.rna_seq.augmented_star_gene_counts.tsv	4c735958999d350a8da3562a3b76e91e	4216826	released
b3e68247-9491-4ed9-bea8-65083ba03014	4092345f-2795-4070-a761-79e45419e6e2.rna_seq.augmented_star_gene_counts.tsv	9fda00fe0178748b11661acf261c5d06	4252554	released
5fb57ca0-f81e-4979-8137-b36031dce97a	25b2ac45-2875-4708-83a4-ec3f9bd03427.rna_seq.augmented_star_gene_counts.tsv	c76c29e219ef61b3130e79a854822ccb	4209089	released
e4d2c009-3d90-46bc-b6b9-a74b10b9bd6b	1af5437e-a89c-4986-bd93-80b73f653bd7.rna_seq.augmented_star_gene_counts.tsv	4e79cb18cc6751bc4b91b560920f9499	4214338	released
6f118db2-eef0-428c-9f31-b42929931918	8d858683-bfc5-4e08-8a99-69dee5db8fbd.rna_seq.augmented_star_gene_counts.tsv	f8887ce920f093d0a297aebfb97a1cba	4210952	released
ee8622b3-9a5d-4c88-a85c-1d6b2793808e	93e213e6-fb7d-4a3a-906b-f297bef94e8b.rna_seq.augmented_star_gene_counts.tsv	f0054771ad4bbea7ff95eb50371f376e	4244184	released
eca29036-cbff-4f47-adfe-2f24d52cc889	b9d646c1-50ea-4bc9-9693-349207a8b348.rna_seq.augmented_star_gene_counts.tsv	495bcbe8f97879ad11337ef893aaf151	4224286	released
73bfdfdf-ee76-4068-864c-f4dca77dd97d	f713691a-df6d-4c44-a9bf-81d45ea69d61.rna_seq.augmented_star_gene_counts.tsv	ab4c5188f8ba2f9ac589b4baacb1241b	4241862	released
a5c2e6f4-9577-4afa-8c1b-0cb989ccdbe5	8c9fd28a-2b4d-4af0-a3e5-089e7405636c.rna_seq.augmented_star_gene_counts.tsv	e237994eef26b243904a7cbcf2a5c6dc	4239755	released
ed2fd464-0242-46d0-a8ee-e444a7c4d23d	bd4fa75d-d413-419e-b203-ee7b3df1d1f4.rna_seq.augmented_star_gene_counts.tsv	0520208fcbbf0a220783a51e6fcb9f8c	4220276	released
57665766-9632-4bd7-bc1c-54adc5c97b3d	6e9584a5-2bfa-4c58-8b19-03e4184282eb.rna_seq.augmented_star_gene_counts.tsv	f628f4ccb6106c0bd64d96378c65f5ba	4226995	released
88822086-1f20-41ee-85bc-37a2462b3944	3ab924b6-15cf-4a1a-876e-1d3bc9b60c5a.rna_seq.augmented_star_gene_counts.tsv	e26ae6475d0bbb9c540540bc56ab1834	4213438	released
